Nome;Posizione;Lettore

???;45.53152862122409, 9.155301504879375;Hi!
Duferco;45.47664281394656, 10.212342475237694;???
Bricolin;44.498360356570316, 11.020226901128561;???
IIS N.Copernico A.Carpeggiani;44.83004417778214, 11.642825751026441;???
La Rosa Ricambi;37.62189710665445, 15.134787417782078;???
Centro Commerciale Fiumara;44.41227361361537, 8.882081102097018;???
Etna Store;37.5410417316923, 14.960407565750726;Hi!
Terminal Bus Catania;37.508272631925905, 15.098158864409001;MiZip
Vogue Store;37.58224928021182, 15.102784041095537;MiZip
BricoCity;37.54212339505382, 14.958331099991046;MiZip
Eurospin;37.58706123501323, 15.08992233679682;MiZip
Risparmio Casa;42.43509231531247, 12.093010241095536;Hi!
Risparmio Casa;42.20262147030796, 12.30689589819366;Hi!
Liceo ???;44.85362083970671, 11.612400863930967;Hi!
Amministrazione Provinciale Di Ferrara;44.83297936235676, 11.62658672760771;MiZip
Milano Fiera;45.5216634952769, 9.07878101778655;Hi!
Palestra Gymnos;44.48165724710044, 11.012423499995522;Hi!
Stock&Store;44.616178606705745, 11.013359558891038;MiZip
