Nome;Posizione;Codice;Attivo

Distributore Farmaceutico;44.03076559298511, 12.619258107164711;???;false
Farmacia San Pietro;44.398275981901214, 8.947417642491517;???;???
Distributore Farmaceutico;44.544513228465895, 10.784691842817761;???;false
Emilplast;44.5913386286736, 11.030765676682064;DD505695131C;true
Farmacia Nonantolana;44.658404149949234, 10.958346028219562;B5C658D54300;false
Farmacia Sant'Antonio;44.48537873919582, 10.998630370547767;6C68506D9682;false
Farmacia Comunale Vignola;44.488384666119295, 10.999265788338793;6C68506D9682;false
Farmacia Sant'Anna;44.61687903532795, 11.012707537413151;???;false
Il Ricambio;44.632177209545276, 10.967684954758917;???;false
Distributore Farmaceutico;45.447506258242704, 10.414303513474405;???;???
Farmacia Trevi Trampetti;42.874050088871684, 12.738363535564151;???;???
Farmacia Boselli;45.036016633954794, 9.694113860101327;???;???
Farmacia Castelli;45.6963051898708, 9.180185271146204;???;???
Farmacia Dr. Donini Antonio;44.597675245060486, 10.799783816280332;6C68506D9682;???
Autolavaggio Nuova Ciao Car;44.55742292199613, 10.787111153355175;???;true
Farmacia Botti;44.637585491360596, 11.19036512266799;???;???
???;44.69182086951667, 11.398534390853227;???;???
Farmacia Majonchi;44.39986676787336, 8.949469565772816;866374AE2A40;???
